Compound,C_Label,BAT-xz971,BAT-xz972,Br-xz971,Br-xz972,Dia-xz971,Dia-xz972,gas-xz971,gas-xz972,gWAT-xz971,gWAT-xz972,H-xz971,H-xz972,Kid-xz971,Kid-xz972,Liv-xz971,Liv-xz972,Lu-xz971,Lu-xz972,Pc-xz971,Pc-xz972,Q-xz971,Q-xz972,SI-xz971,SI-xz972,Sol-xz971,Sol-xz972,Sp-xz971,Sp-xz972,BAT-xz981,BAT-xz982,Br-xz981,Br-xz982,Dia-xz981,Dia-xz982,gas-xz981,Gas-xz982,gwat-xz981,gwat-xz982,H-xz981,H-xz982,Kd-xz981,Kd-xz982,Liv-xz981,Liv-xz982,Lu-xz981,Lu-xz982,Pc-xz981,Pc-xz982,Q-xz981,Q-xz982,SI-xz981,SI-xz982,sol-xz981,sol-xz982,Sp-xz981,Sp-xz982
citrate/isocitrate,5,2562.32198718395,0,0,0,0,0,0,2219.83468083267,0,0,0,0,16288.527525278,9576.86454577617,8889.08705438979,3639.48188450565,5069.79531702371,8678.66893806324,6240.72203575307,2692.31857622871,0,0,0,0,0,0,0,6583.79571927722,0,0,2081.06188634045,0,0,0,0,0,0,0,0,0,0,0,7344.89503359805,8923.82032825306,0,0,0,0,0,0,0,5755.08248221287,0,0,0,0
citrate/isocitrate,6,0,3843.73173774443,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2162.37752703821,5605.18343537528,4072.2699617093,17076.144690227,93308.9136067589,0,0,0,0,0,0,0,0,0,0,0,0,24113.1393078505,3736.35317033033,4087.05521704782,3283.99561117923,66876.2697726074,73417.905044161,2723.43849421026,2660.47628809391
succinate,0,149793836.776296,208862120.116299,75001873.3220445,119178471.598717,147682024.692018,87972364.3770411,76056684.8944983,91769557.0220189,6249895.87232068,2843666.33070483,195154687.482794,235233580.376198,159285812.35976,65802111.4848438,63925424.8294845,66659517.4027526,7695295.37392864,15506564.782198,29115157.3432753,49360610.0631696,78694049.6248657,30063120.738812,41246153.5381334,3576717.68296282,88503291.2745916,113919909.201818,25633984.600276,41982058.3190395,39135166.7445102,26476726.2616017,57380394.2464706,61179692.8206834,97254972.2499224,70566776.7740129,48627774.9750084,59281298.2197675,4042342.52395288,2692817.43882574,156120240.875762,143459890.869139,95669683.341689,89760515.6892239,48836590.4862215,50207280.1288866,17932354.0696153,16666576.2344352,41769499.6645721,27741069.99428,45886274.1380582,50211078.6631315,41665540.65905,40610212.5219921,56012564.8711141,59808833.9964869,25843525.0895714,29218916.9900575
succinate,1,294598.840384567,943142.919172461,199922.586405757,2593570.04449328,493480.251411456,685455.436906347,209973.136422277,732422.246891595,0,0,308363.213483749,1063236.36852055,511837.501149511,2397336.33174628,192532.87997188,1054320.3496139,0,56581.435595055,27045.3337423771,899624.312643101,200685.137723493,172068.210654091,70382.8763615411,0,339567.861341654,1001508.78370727,26804.4696130665,322218.827454789,187713.327090899,143567.689112447,653160.241982451,489675.38212565,743318.280976449,647913.549913079,342867.827386356,446258.249423515,0,0,597046.298169645,743778.166519918,1033529.67818043,1203067.70881152,556727.7833132,625552.725759697,106256.86558149,95190.5248523039,480083.835811238,297390.095638836,217254.965361338,248843.234623755,326864.122613528,368843.722848462,298376.04338939,437913.298833885,168717.57201342,199603.645775735
succinate,2,0,101541.944265975,64370.2864649464,698181.913673684,33243.1909666055,146043.47083368,12379.5947412669,170880.636013665,0,0,11913.7819261187,209169.005471641,77545.2583882433,1042848.72101005,65485.445938082,535600.131980859,0,5005.00906675739,20129.9962652486,355235.349566721,0,45835.1331645099,15333.7081238907,0,641.609432431284,184547.222669821,0,132137.364738025,12745.0067019957,6841.90422070406,82777.0303705649,93067.3388222941,86642.459555095,141803.437200533,33970.9789719149,57128.4612261356,0,0,65231.0924891586,66487.5723493178,351258.533835781,288858.582433052,305915.814766609,316128.104085718,2771.24229012621,5225.53803174907,118291.249410557,69779.9422452589,24805.2315767099,2720.31668201343,123491.17459132,138212.487700493,65588.5615592692,68242.953530843,62319.4829131319,74778.0126741054
succinate,3,0,44595.1814444694,5096.79141183851,39848.7937100976,0,47537.4479935796,3706.67221102901,9689.78103862809,0,0,0,25048.9886605846,12745.5376859683,22812.7636875645,69243.9153183067,489619.762783502,0,2151.64266555332,0,36927.2508136211,0,4234.37644044503,0,0,4626.68233644647,25316.3370779359,0,3330.54687661482,2855.51175629599,2491.12952490283,9196.73365024823,13596.7352611803,8197.08039800967,14703.63511581,2228.66960160796,217.369626619573,0,0,7693.6695576338,0,24675.0094545018,22778.1772854352,72104.0690711282,99456.2774904827,2053.80373202347,2215.66063699189,16773.1619059596,4943.68616614759,2882.4942234475,1343.19410239858,11747.8451677482,3140.8866345688,4685.88790696273,303.317130588242,1436.03198086958,2325.63417101144
succinate,4,0,9386.28270034505,0,0,0,0,0,0,0,0,0,0,0,0,23586.6675894305,191865.099726819,0,0,0,9394.98883049521,0,0,0,0,0,0,0,0,0,0,3802.82090091551,0,3354.82660348121,0,0,0,0,0,0,0,0,3272.62024094502,36354.3115122852,43871.4939957654,0,0,4655.25504071709,0,0,0,0,1816.28649644911,0,0,0,2034.97059463409
malate,0,38491556.9025662,45468086.9037841,64187107.9734631,91451022.6975986,253786349.650805,154377982.647345,95170009.3990856,77506838.4903457,26859477.6389731,3398024.57476789,139581813.974877,107856762.03075,145924173.319289,60465359.9247265,112085667.286368,67882193.7437753,42294317.414294,78139509.8499727,87026836.6270127,53923916.0890007,103945504.945493,11948816.2721837,83326874.0291633,1055604.42934975,160730550.203396,126886645.962604,64081706.575139,76659484.1210188,7852712.2864887,3661484.67390854,82577795.8044614,77185139.0718868,176583765.103246,158605696.228274,41663772.8152412,49170431.8302311,9124430.40600276,3774651.32447313,140635771.531121,139579475.258672,76552803.3304883,68199670.6454947,36054561.1948932,36795733.6267095,64081942.0360458,59954393.0454614,61855980.0226627,40180871.7091482,38172537.4255472,34050215.8909892,179752875.880416,119482920.109196,99184865.3325657,98022504.9558133,69576919.3917751,70422449.2244172
malate,1,58874.1818241008,339842.32986099,171361.736878945,2065060.44403295,801362.329600166,1356503.57414639,287607.659743209,617255.65515369,42541.3612602364,0,508960.252046923,583501.933968301,758633.240775325,2222407.44818414,683456.078043329,775966.534623711,0,799004.485597758,347625.951782651,735590.648523497,443533.74062669,66541.3142713368,227371.453710617,0,587909.049559106,1051959.96209498,136838.796287947,753548.525944496,10574.6097403973,0,1110835.69801866,1063585.24896296,1479765.79193603,1574829.9509596,79827.8330515459,222176.852544397,33307.9477616636,0,860443.321786878,742344.759682209,848020.001300579,754784.155530121,537892.956885904,443978.010857025,112677.868661871,452169.975391855,638201.822600674,322659.847991659,236187.611295913,52691.3155696731,1808112.94494034,1189685.97219636,642613.155820428,556146.796220177,501818.065929609,547009.061582653
malate,2,6030.53509762265,61169.2284369719,46947.9116759995,478409.373082274,76421.508429912,279046.10627947,36160.2907071427,197363.512003462,11946.3769818395,4086.17725249963,4006.88720599833,105836.883677555,36118.5248394594,743847.571789545,118901.429882033,404790.75221612,17004.0288508757,167808.540771622,67917.259104579,317888.573561094,41070.3045909827,32781.4090601508,40114.8894437447,967.224877063041,55743.9691354678,198779.224959821,36712.8768078302,299347.880674275,6770.38689550448,691.81131713728,140097.089642332,128746.97743154,203113.37354132,372970.410145051,47770.0891119308,57633.8030968548,17619.1289231472,7659.49773052097,45771.9107474474,52970.7402858416,183426.199165782,186767.338455258,100500.052516161,103357.165200784,98302.0107471334,53708.6364957623,158387.272052912,104039.584820972,39892.9842567624,19488.9396803163,556738.109217717,326465.596717102,84972.3650046739,92959.81875464,191110.866473924,186071.645352368
malate,3,0,12619.2340844889,0,43057.5535128663,4344.74224107572,55745.9968641072,3514.48111984869,2013.20676603626,0,5523.8974424204,0,7485.20070198914,15813.3818956383,18816.853057557,85649.8306543971,332014.024967135,0,37004.7543809696,16620.4776041476,36188.7643076499,0,712.011848587392,0,0,0,20179.603931069,0,7878.77239739023,2326.75759620847,0,32640.9261266167,22640.337515582,26449.8007857516,552.014318814088,0,0,681.598614138733,0,10312.8819149747,2987.10670968659,21160.0824615218,21158.4069132806,27020.5833774794,40783.4150636441,12534.7436701245,13931.2757420956,32326.8362556122,17533.6317254553,1683.25758286473,0,51825.7430408136,26343.5300064149,6781.35466833341,0,10559.1657449849,8281.36484254211
malate,4,0,0,0,0,0,0,0,6517.7629461512,0,0,0,0,0,0,31421.1943593517,104407.776246367,0,0,0,9101.01457992387,0,0,4706.63501807878,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,9329.57854240603,0,14431.3051849094,16591.9296208343,0,0,0,0,0,0,0,0,0,0,0,0
a-ketoglutarate,0,1618695.11736725,2370309.15781134,1691803.11370765,2308007.57996774,9839548.40745716,16140448.1593874,2557233.93053163,1923481.85629112,5463092.41937708,1640536.93335314,2377429.14323306,2524404.85102042,1860590.88351379,658097.268436215,1584209.57129289,1169486.8994215,7949833.97987384,14429919.20066,8920945.53578524,5887775.83013546,2742005.84524598,543075.694695641,12289806.1563988,334283.273377743,5170725.01928114,3012390.20243262,9649310.27522143,5408144.16589347,115691.336218592,53651.4602030199,3992706.9581849,4160537.59672016,2338761.065221,2251235.73639632,1376947.14674292,1214136.37355189,1573168.19047308,778252.29831241,2120150.33405115,1808458.66207456,1954756.98146156,2103089.94610211,1215346.93758384,1108743.974349,6147892.38310027,7643053.14338909,4337411.05428621,3447800.30793682,847714.442322022,588675.608667704,5693213.75261069,6104069.50765836,1174600.59665463,1084696.78073672,4063246.71855718,4447316.61194439
a-ketoglutarate,1,0,0,0,4863.85909304143,0,14844.1947875349,0,0,0,0,0,0,0,5300.31439258772,0,0,0,41413.8047147859,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a-ketoglutarate,2,0,0,0,15053.321542302,2662.98793768357,36543.2960494451,438.589865762989,6147.74583050971,4392.2840417924,3769.72941602799,0,4232.64466974902,0,11871.6707643773,0,4570.72613311011,4759.63654873554,46380.6691699898,6979.92067565024,40561.637946003,0,0,8495.55323486698,627.757522301116,340.037905653388,4386.59496874139,8272.32078437119,22451.1670803792,0,0,8360.49937973975,9777.17782316821,2216.33503190661,3209.75184673022,830.007657988975,0,2316.0846779899,0,0,0,3079.62241000402,2754.99118589916,598.250560578536,0,8732.89381101472,14414.5297784959,11662.0909445391,10509.2321902178,156.698639983326,0,22132.1919974964,26626.4329606678,0,0,12480.6468018892,8366.85171021412
a-ketoglutarate,3,0,0,0,0,0,4249.82927364577,0,0,0,0,0,0,0,0,0,0,0,3930.46398183527,0,5264.47180721286,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,435.751184943381,0,1238.16883601582,0,0,1378.56207380766,0,0,0,0,999.862652112276
a-ketoglutarate,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
a-ketoglutarate,5,0,0,1162.30908576285,0,0,1513.32299833153,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1354.03461683233,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1809.53904862089,0,920.75330339445,0,0,0,0,0,0,0,0,0,0,0
